Nganh,TenCoPhieu,TileTB,GiaBanTB,Thang1,Thang2,Thang3,Thang4,Thang5,Thang6,Thang7,Thang8,Thang9,Thang10,Thang11,Thang12
Tech,AAPL,1.007777,578.5944,1.016727,1.053667,1.043417,0.9890769,0.9995,1.014,1.00725,1.021762,0.9922353,0.9701667,0.9911538,0.9943684
Transp,AAWW,0.9879429,46.37785,1.076214,0.9518824,1.020091,0.979,0.9521,0.979,1.065,0.9895,0.986,0.86675,0.9757777,1.014
InvServ,AB,1.002816,14.78431,1.032647,0.9881667,1.008474,0.9807222,0.9734118,1.016294,0.9894,1.038118,1.025364,1.012,0.9804,0.9888
Transp,ABFS,0.9759955,12.79553,0.95675,0.9824,0.993,0.9465,0.9487143,0.9715,0.959125,0.9684445,0.9346667,1.0201,1.006857,1.023889
Basiclnd,ABX,0.9915903,39.54224,1.005467,0.992375,0.9832,0.976625,1.0155,0.92625,1,1.052,0.951,0.969,1.015,1.012667
Cons-Cyc,ACAT,1.002835,37.96568,1.034,1.074,1.0215,1.01,0.93775,1.037,1.118667,0.997,0.954,0.91,0.9646,0.9755
Utilities,AES,1.004007,11.86282,1.004,1.015,0.986,0.994,1.020667,1.086,0.951,0.9903333,0.993,0.988,1.031333,0.98875
Insurance,AET,1.002839,42.91949,0.9956667,0.9972727,1.008222,0.9738667,1.009,0.9722,0.9726667,1.016,1.0296,1.012944,1.025,1.021625
Insurance,AFG,1.005066,38.28024,1.0055,1.017,1.01,0.999,1.0055,1.015,0.9842,1.011111,0.996875,1.0086,1.007833,1.000167
Insurance,AFSI,1.001815,27.24471,1.034875,0.9735,0.9968333,1.00425,1.006625,0.999,1.013667,0.9778182,0.9911538,0.99375,1.028556,1.00175
Services,AGNC,1.000886,31.86917,1.008385,1.002,0.9914286,1.013067,1.007773,1.004571,1.005588,0.9963636,0.9998333,0.9837273,1.0038,0.9941
Insurance,AGO,1.003189,14.47709,1.050222,1.013267,1.0012,0.9745,0.979,1.016857,0.89,1.0746,1.03625,0.9915714,1.0128,0.998
Cons-NonCyc,AGRO,0.9807792,9.458757,0.9986666,0.9923333,1.030833,0.9193333,1.0111,0.9921667,1.024417,0.9946667,0.952,0.942,0.9965,0.9153333
Insurance,AJG,1.002857,35.41842,1.02175,0.9936471,1.0118,1.0056,0.9884546,1.0095,1.001067,1.006333,0.9987223,0.9998571,1.00275,0.9948
Transp,ALK,0.9959757,42.46518,0.9895,0.891,1.004625,1.00775,0.9555,1.031167,1.001667,0.999,1.025333,1.018,1.016667,1.0115
Insurance,ALL,1.006319,35.74007,1.037786,1.012889,1.010625,0.9953333,0.9743333,1.012167,1.008167,1.006667,0.988,1.0128,1.015474,1.001588
