Nganh,TenCoPhieu,TileTB,GiaBanTB,Thang1,Thang2,Thang3,Thang4,Thang5,Thang6,Thang7,Thang8,Thang9,Thang10,Thang11,Thang12
Energy,AAV,1.012895,5.125813,0.93125,1.0492,1.1005,1.053429,1.011867,0.9766,0.9729,1.025,0.935,1.012,1.095,0.992
Trans,AAWW,1.00085,36.48484,0.9555,0.9533333,1.015667,0.9962857,0.9876923,1.010909,0.9532857,1.02375,1.02725,1.0175,1.0296,1.039429
BasicInd,ABX,0.9886899,16.45198,1.001533,1.003556,0.9888824,0.9841176,0.976,1.0342,0.9999474,0.993125,0.9536154,0.9449333,1.0036,0.9807692
ETFs,ACTG,1.007481,16.22848,0.9768571,1.0386,1.033947,1.005,1.007667,1.026222,0.997875,1.015857,0.9576,1.042947,1.012,0.9752
Cons-Cyc,ACW,1.012625,4.701687,1.0082,1.0652,1.018333,1.085222,1.000714,0.9931429,0.9925,0.95675,0.976923,1.059615,0.9803333,1.014571
Insurance,AEL,0.9997792,23.89317,0.955,1.01625,1.012333,0.9927,1.019,1.007833,0.991,1.015583,0.98575,1.0075,1.0024,0.992
Insurance,AET,1.005036,77.72706,0.9705,1.0222,1.007429,1.015857,1.029556,1.019,0.998875,1.02875,0.985,0.9936,1.012667,0.977
Insurance,AFL,0.9996689,61.06878,0.9837273,1.008,0.991,0.9945,1.0058,1.00825,0.998,1.001,0.987,1.013833,1.00225,1.002667
Trans,AIRM,0.9969708,51.23074,0.9493333,1.028286,1.004,1.05775,1.034333,1.0214,0.9866667,1.026875,0.984625,0.912,1.006714,0.9516667
Insurance,AIZ,1.002853,66.07886,0.9815,1.021143,1.014857,1.0146,1.005214,0.9924,0.99025,1.007,0.9986,1.021667,1.011,0.976
Trans,ALGT,1.014198,119.0386,0.9793077,1.024667,1.083,1.0086,0.9906667,1.023,0.9765,1.007,0.98325,1.059273,1.011444,1.023667
InvServ,AMG,0.9896463,196.9766,0.9523333,1.004,0.967,0.9683334,0.9974286,1.029,0.97625,1.0096,0.9883333,0.9551429,0.9946667,1.033667
Service,AMZN,1.013362,331.9726,0.99,1.013438,0.9792857,0.9873334,1.028,1.0835,1.0205,1.03575,0.98925,1.003571,1.035,0.9947143
ETFs,ANH,1.010042,5.146949,1.033222,1.031625,1.0089,1.013053,0.9951905,0.9991111,0.9986842,1.004933,0.996,1.000286,1.0145,1.025
Service,ARR,1.005234,4.169692,1.007667,1.018,1.0011,1.003571,1.014,1.008286,0.9964737,1.00305,0.9883333,0.989,0.9983333,1.035
Cons-Cyc,AZO,1.007731,539.7863,1.011,1.024176,0.99335,0.99885,1.00525,1.006111,0.9969231,1.015,0.9911818,1.039,1.0026,1.009333
Health,BIIB,1.00693,318.4632,1.0189,1.032471,0.9692778,0.9691429,1.033875,0.98,1.03075,1.01775,1.008333,0.9865,1.030667,1.0055
Utilities,BIP,1.001726,39.78062,0.9844286,0.99,1.005533,1.011571,1.012231,0.9974,0.9932,1.021917,0.9757,1.017231,1.019,0.9925
InvServ,BLK,1.002355,317.6414,0.97775,1.012222,1.003667,0.98655,1.00985,1.009071,0.9861,1.026,0.9914,1.0054,0.998875,1.021375
Banks,BMO,1.000873,70.47242,0.984,1.008111,1.000556,1.007667,1.007733,1.011714,1.010818,1.011917,0.99025,0.9990909,0.9950625,0.9835556
Banks,BNS,0.9973379,60.89925,0.9635,1.008571,1.013,1.009,1.013,1.013545,0.9975384,0.9926429,0.9841429,0.9920555,1.005,0.9760588
Banks,C,1.00395,50.27209,0.9904444,0.9995,0.952,1.002,1.00715,1.000533,1.010067,1.024571,0.9977647,1.001571,1.0048,1.057
BasicInd,CCK,1.006115,47.0985,0.9985,1.00025,1.0037,1.0315,1.004125,0.99,1.011,1.022,0.9635,1.035143,1.029,0.9846666
ETFs,CHKR,0.9823654,10.11287,0.952,1.063667,0.984,1.0212,0.9854615,1.003833,1.007,0.997,1.006273,1.049,0.80525,0.9137
Insurance,CI,1.004787,90.54289,1,1.0158,1.0015,0.9895,1.019429,1.02,1.01525,1.006833,0.98325,1.0045,1.004,0.9973846
Service,CLD,0.9719259,15.74414,0.9975,0.9876667,1.015286,0.9505,0.9936666,0.9742,0.9790909,0.972,0.9602,0.931,0.9704,0.9316
Service,CLUB,0.9907972,7.099546,0.989,1.034625,0.9902,0.909,1.0135,1.067778,0.9552727,1.055,0.9563333,0.918,0.996,1.004857
BasicInd,CLW,1.005169,64.04806,0.9974999,1.04675,0.96725,1.0014,1.013,0.9796667,1.03175,1.003,0.9561,1.0242,1.026667,1.01475
Service,CMCSA,1.004984,53.438,1.028,1.020333,0.993,1.001929,1.007882,1.008579,0.997619,1.012437,1.000667,0.9902,1.009167,0.99
Trans,CNI,1.003007,63.53963,0.9892353,1.015667,0.9998889,1.024,1.007692,1.012375,1,1.023,0.9855714,0.991,0.9945,0.99315
Insurance,CNO,1.004254,17.28716,0.9915,1.040111,0.993,0.9821429,1.0096,1.012625,0.986,1.023267,0.983,1.017909,0.99,1.021889
Trans,CNW,1.010403,45.24799,1.0325,1.036333,1.0295,1.0264,1.020167,1.0194,0.9894,1.0005,0.9555714,0.9918947,1.049667,0.9735
ETFs,CODI,0.9994742,17.91829,1.002,1.003333,1.01275,0.9912,0.9836,1.010625,1.004556,1.008312,0.999,1.016231,0.9824167,0.9796667
Cons-Noncyc,COTY,1.002723,16.78543,0.9601667,1.032909,0.9976364,1.013429,1.008,0.994,0.969,1.012,1.006333,1.0302,1.035,0.974
InvServ,COWN,1.021892,4.172759,0.9968333,1.014545,1.0372,1.0385,1.068,1.002667,1.016667,1.00175,0.9783333,1.020714,1.0435,1.044
Trans,CP,1.001317,178.001,0.998,1.025667,0.9851,1.019,1.036667,1.007909,1.00775,1.013667,1.000917,0.9338334,0.9916667,0.995625
Trans,CPA,0.9948881,129.831,0.9498236,1.013882,1.009385,0.9842666,1.0416,1.0205,0.987,0.996,0.9864,1.068,0.971,0.9108
